Iteration, Deposit, Amount
0, 500.00, 500.00
1, 504.00, 1010.00
2, 508.00, 1530.12
3, 512.00, 2060.48
4, 516.00, 2601.21
5, 520.00, 3152.42
6, 524.00, 3714.25
7, 528.00, 4286.82
8, 532.00, 4870.26
9, 536.00, 5464.71
10, 540.00, 6070.28
11, 544.00, 6687.13
12, 548.00, 7315.37
13, 552.00, 7955.16
14, 556.00, 8606.62
15, 560.00, 9269.90
16, 564.00, 9945.14
17, 568.00, 10632.48
18, 572.00, 11332.07
19, 576.00, 12044.05
20, 580.00, 12768.58
21, 584.00, 13505.80
22, 588.00, 14255.87
23, 592.00, 15018.94
24, 596.00, 15795.17
25, 600.00, 16584.71
26, 604.00, 17387.73
27, 608.00, 18204.38
28, 612.00, 19034.84
29, 616.00, 19879.25
30, 620.00, 20737.81
31, 624.00, 21610.66
32, 628.00, 22497.99
33, 632.00, 23399.96
34, 636.00, 24316.76
35, 640.00, 25248.56
36, 644.00, 26195.55
37, 648.00, 27157.89
38, 652.00, 28135.79
39, 656.00, 29129.42
40, 660.00, 30138.97
41, 664.00, 31164.64
42, 668.00, 32206.61
43, 672.00, 33265.09
44, 676.00, 34340.27
45, 680.00, 35432.36
46, 684.00, 36541.55
47, 688.00, 37668.04
48, 692.00, 38812.06
49, 696.00, 39973.80
50, 700.00, 41153.49
51, 704.00, 42351.33
52, 708.00, 43567.55
53, 712.00, 44802.36
54, 716.00, 46055.99
55, 720.00, 47328.66
56, 724.00, 48620.60
57, 728.00, 49932.05
58, 732.00, 51263.23
59, 736.00, 52614.39
60, 740.00, 53985.77
61, 744.00, 55377.60
62, 748.00, 56790.13
63, 752.00, 58223.61
64, 756.00, 59678.29
65, 760.00, 61154.43
66, 764.00, 62652.28
67, 768.00, 64172.11
68, 772.00, 65714.18
69, 776.00, 67278.75
70, 780.00, 68866.09
71, 784.00, 70476.49
72, 788.00, 72110.20
73, 792.00, 73767.53
74, 796.00, 75448.74
75, 800.00, 77154.12
76, 804.00, 78883.97
77, 808.00, 80638.58
78, 812.00, 82418.24
79, 816.00, 84223.26
80, 820.00, 86053.94
81, 824.00, 87910.59
82, 828.00, 89793.51
83, 832.00, 91703.03
84, 836.00, 93639.47
85, 840.00, 95603.15
86, 844.00, 97594.38
87, 848.00, 99613.52
88, 852.00, 101660.88
89, 856.00, 103736.81
90, 860.00, 105841.65
91, 864.00, 107975.75
92, 868.00, 110139.46
93, 872.00, 112333.13
94, 876.00, 114557.13
95, 880.00, 116811.82
96, 884.00, 119097.56
97, 888.00, 121414.73
98, 892.00, 123763.70
99, 896.00, 126144.87
100, 900.00, 128558.61
101, 904.00, 131005.31
102, 908.00, 133485.37
103, 912.00, 135999.20
104, 916.00, 138547.19
105, 920.00, 141129.76
106, 924.00, 143747.31
107, 928.00, 146400.28
108, 932.00, 149089.08
109, 936.00, 151814.15
110, 940.00, 154575.92
111, 944.00, 157374.83
112, 948.00, 160211.33
113, 952.00, 163085.87
114, 956.00, 165998.90
115, 960.00, 168950.88
116, 964.00, 171942.30
117, 968.00, 174973.60
118, 972.00, 178045.29
119, 976.00, 181157.83
120, 980.00, 184311.72
121, 984.00, 187507.46
122, 988.00, 190745.55
123, 992.00, 194026.50
124, 996.00, 197350.82
125, 1000.00, 200719.03
126, 1004.00, 204131.66
127, 1008.00, 207589.24
128, 1012.00, 211092.31
129, 1016.00, 214641.41
130, 1020.00, 218237.11
131, 1024.00, 221879.96
132, 1028.00, 225570.52
